,genre,artist_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,liveness_binary,danceability_binary,Major,Minor,A,A#,B,C,C#,D,D#,E,F,F#,G,G#
20366,2,3272,42256,26,0.000185,0.239,230933,0.985,0.008579999999999999,0.0324,-1.032,0.443,184.912,1,0.222,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20425,2,8875,88550,13,0.221,0.299,158726,0.612,0.948,0.128,-7.8,0.0466,120.066,1,0.22,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20535,2,11156,47726,6,0.00678,0.4970000000000001,189930,0.905,0.0,0.378,-5.632999999999999,0.135,169.903,1,0.75,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20730,2,1636,58876,17,0.105,0.44,185693,0.423,0.275,0.106,-9.652,0.0286,101.665,1,0.0684,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20797,2,7336,106878,18,0.8640000000000001,0.623,165733,0.339,0.935,0.136,-11.754,0.0292,141.972,1,0.0869,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20868,2,11308,55957,16,0.723,0.225,131067,0.486,0.906,0.0806,-16.361,0.055,81.068,1,0.035,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20925,2,776,36368,19,0.7859999999999999,0.669,102071,0.488,0.941,0.0687,-9.288,0.0299,100.023,1,0.7140000000000001,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
21007,2,7336,79077,15,0.996,0.495,149601,0.0993,0.949,0.0847,-19.834,0.0322,79.988,1,0.142,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21136,2,11308,18067,17,0.509,0.225,130707,0.414,0.89,0.172,-11.892,0.0335,79.657,1,0.123,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
21148,2,7336,34512,15,0.547,0.597,148317,0.419,0.985,0.221,-11.0,0.037000000000000005,119.931,1,0.532,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21250,2,11308,33381,18,0.4970000000000001,0.23,213200,0.204,0.968,0.0841,-13.311,0.0338,77.062,1,0.0583,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
21251,2,11308,23463,18,0.24,0.196,137787,0.205,0.8909999999999999,0.093,-11.366,0.0332,101.958,1,0.04,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21321,2,776,31654,18,0.956,0.101,123142,0.13699999999999998,0.804,0.112,-19.385,0.0481,163.623,1,0.0338,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
21442,2,11556,42611,17,0.665,0.443,209293,0.535,0.0,0.0703,-9.212,0.118,84.559,1,0.489,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
21473,2,10517,61645,11,0.963,0.264,45240,0.5870000000000001,0.908,0.289,-8.116,0.0399,119.298,1,0.225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
21640,2,8862,64674,15,0.995,0.259,111333,0.0196,0.868,0.106,-25.716,0.0494,81.975,1,0.221,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
21657,2,1636,56933,13,0.23,0.603,112507,0.6609999999999999,0.91,0.11,-10.764,0.036000000000000004,125.176,1,0.378,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
21668,2,1636,85748,14,0.0198,0.162,230133,0.34,0.647,0.119,-15.380999999999998,0.0323,137.989,1,0.0667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21672,2,1636,108836,13,2.67e-05,0.425,175600,0.988,0.897,0.34600000000000003,-6.1960000000000015,0.0665,140.063,1,0.57,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21678,2,1636,17429,14,0.00213,0.5429999999999999,232787,0.846,0.851,0.246,-9.163,0.0392,109.958,1,0.606,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
21681,2,10604,35796,18,0.16399999999999998,0.185,81833,0.478,0.988,0.0708,-5.497999999999998,0.0332,76.125,1,0.0383,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
21745,2,7336,19574,15,0.993,0.463,210027,0.0435,0.89,0.0622,-28.688,0.069,112.837,1,0.179,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
21796,2,3272,8601,20,0.000196,0.304,219787,0.99,0.0806,0.329,-0.473,0.163,102.507,1,0.547,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
21811,2,1636,97316,13,0.000155,0.213,94893,0.917,0.825,0.0774,-6.9670000000000005,0.0893,122.528,1,0.264,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
21960,2,11308,109654,15,0.238,0.201,118067,0.3,0.889,0.119,-13.04,0.0409,78.012,1,0.0353,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
22070,2,3057,3274,14,0.879,0.187,164559,0.14400000000000002,0.246,0.108,-14.476,0.0344,85.26700000000002,1,0.0393,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22093,2,1468,84329,8,0.0825,0.262,42680,0.34700000000000003,0.611,0.136,-9.545,0.0284,95.547,1,0.308,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
22511,10,10852,33840,30,0.0597,0.7290000000000001,206160,0.8740000000000001,0.44,0.174,-4.664,0.27,143.976,1,0.5660000000000001,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
22709,10,2673,63422,27,0.00239,0.778,185600,0.53,0.8370000000000001,0.196,-5.721,0.166,74.995,1,0.711,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22719,10,5185,84310,30,0.175,0.387,195141,0.7509999999999999,0.76,0.114,-12.217,0.134,152.007,1,0.0369,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
22928,10,2065,15941,41,0.022,0.389,187347,0.83,0.0156,0.16699999999999998,-4.314,0.0345,92.471,1,0.634,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
23020,10,6896,55661,29,0.000589,0.312,221698,0.871,0.575,0.279,-6.502000000000002,0.35,155.03,1,0.355,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
23062,10,3368,59050,30,0.134,0.198,105978,0.69,0.902,0.108,-6.707999999999998,0.0363,129.058,1,0.26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23107,10,6958,1604,21,0.611,0.236,96040,0.377,4.88e-05,0.11,-10.449000000000002,0.0322,130.22799999999998,1,0.0385,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23481,10,3368,11920,29,0.000335,0.326,43960,0.963,0.947,0.339,-9.042,0.376,137.438,1,0.575,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23519,10,3678,83984,30,0.0322,0.633,148625,0.8190000000000001,0.187,0.238,-4.32,0.0481,129.99200000000002,1,0.121,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
23765,10,4087,60554,25,0.000918,0.7170000000000001,232000,0.918,0.0425,0.0997,-0.747,0.152,74.97399999999998,1,0.482,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23798,10,3368,105934,26,0.253,0.152,133982,0.691,0.872,0.145,-14.592,0.253,75.831,1,0.196,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
23817,10,10407,37200,33,0.261,0.173,150225,0.745,0.609,0.059,-11.084,0.151,108.85,1,0.0361,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23857,10,11018,89573,26,0.758,0.297,59933,0.453,0.0496,0.602,-14.572,0.179,144.843,1,0.158,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24061,11,10835,30421,71,0.047,0.595,223640,0.723,0.0286,0.0995,-8.256,0.0349,108.043,1,0.272,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
24095,11,3493,88296,74,0.928,0.409,225076,0.13699999999999998,0.0,0.0706,-9.169,0.0446,162.08,1,0.106,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
